"Time","{pattern=""SAGA_OUTBOX""}"
2026-04-13 00:46:30,0
2026-04-13 00:47:00,0
2026-04-13 00:47:30,0.0222
2026-04-13 00:48:00,0.0222
2026-04-13 00:48:30,0
2026-04-13 00:49:00,0
2026-04-13 00:49:30,0
2026-04-13 00:50:00,0
2026-04-13 00:50:30,0
2026-04-13 00:51:00,0
2026-04-13 00:51:30,0
2026-04-13 00:52:00,0
2026-04-13 00:52:30,0
2026-04-13 00:53:00,0
2026-04-13 00:53:30,0.178
2026-04-13 00:54:00,6.17
2026-04-13 00:54:30,13.0
2026-04-13 00:55:00,12.4
2026-04-13 00:55:30,12.0
2026-04-13 00:56:00,12.9
2026-04-13 00:56:30,12.9
2026-04-13 00:57:00,13.6
2026-04-13 00:57:30,13.6
2026-04-13 00:58:00,12.4
2026-04-13 00:58:30,11.1
2026-04-13 00:59:00,9.40
2026-04-13 00:59:30,7.24
2026-04-13 01:00:00,7.60
2026-04-13 01:00:30,6.60
2026-04-13 01:01:00,6.62
2026-04-13 01:01:30,6.24
2026-04-13 01:02:00,6.33
2026-04-13 01:02:30,7.00
2026-04-13 01:03:00,9.38
2026-04-13 01:03:30,11.8
2026-04-13 01:04:00,13.1
2026-04-13 01:04:30,13.8
2026-04-13 01:05:00,12.8
2026-04-13 01:05:30,12.3
2026-04-13 01:06:00,13.6
2026-04-13 01:06:30,13.7
2026-04-13 01:07:00,12.0
2026-04-13 01:07:30,9.27
2026-04-13 01:08:00,8.16
2026-04-13 01:08:30,9.49
2026-04-13 01:09:00,9.98
2026-04-13 01:09:30,10.6
2026-04-13 01:10:00,9.67
2026-04-13 01:10:30,10.1
2026-04-13 01:11:00,10.1
2026-04-13 01:11:30,10.00
2026-04-13 01:12:00,10.4
2026-04-13 01:12:30,9.69
2026-04-13 01:13:00,9.13
2026-04-13 01:13:30,10.6
2026-04-13 01:14:00,9.29
2026-04-13 01:14:30,9.93
2026-04-13 01:15:00,10.1
2026-04-13 01:15:30,9.73
2026-04-13 01:16:00,10.0
2026-04-13 01:16:30,10.6
2026-04-13 01:17:00,10.2
2026-04-13 01:17:30,9.80
2026-04-13 01:18:00,10.1
2026-04-13 01:18:30,10.3
2026-04-13 01:19:00,11.4
2026-04-13 01:19:30,12.2
2026-04-13 01:20:00,11.8
2026-04-13 01:20:30,12.0
2026-04-13 01:21:00,11.6
2026-04-13 01:21:30,12.1
2026-04-13 01:22:00,11.9
2026-04-13 01:22:30,12.2
2026-04-13 01:23:00,12.5
2026-04-13 01:23:30,11.9
2026-04-13 01:24:00,14.0
2026-04-13 01:24:30,25.1
2026-04-13 01:25:00,29.7
2026-04-13 01:25:30,29.5
2026-04-13 01:26:00,29.5
2026-04-13 01:26:30,30.2
2026-04-13 01:27:00,30.6
2026-04-13 01:27:30,28.7
2026-04-13 01:28:00,28.8
2026-04-13 01:28:30,30.2
2026-04-13 01:29:00,30.8
2026-04-13 01:29:30,31.1
2026-04-13 01:30:00,31.2
2026-04-13 01:30:30,31.6
2026-04-13 01:31:00,30.6
2026-04-13 01:31:30,29.7
2026-04-13 01:32:00,29.4
2026-04-13 01:32:30,29.0
2026-04-13 01:33:00,30.3
2026-04-13 01:33:30,30.3
2026-04-13 01:34:00,31.0
2026-04-13 01:34:30,31.0
2026-04-13 01:35:00,32.0
2026-04-13 01:35:30,31.4
2026-04-13 01:36:00,34.7
2026-04-13 01:36:30,39.2
2026-04-13 01:37:00,40.3
2026-04-13 01:37:30,43.5
2026-04-13 01:38:00,45.3
2026-04-13 01:38:30,44.7
2026-04-13 01:39:00,44.3
2026-04-13 01:39:30,44.6
2026-04-13 01:40:00,43.6
2026-04-13 01:40:30,43.6
2026-04-13 01:41:00,43.5
2026-04-13 01:41:30,43.9
2026-04-13 01:42:00,44.6
2026-04-13 01:42:30,44.8
2026-04-13 01:43:00,44.2
2026-04-13 01:43:30,30.9
2026-04-13 01:44:00,0.267
2026-04-13 01:44:30,0
2026-04-13 01:45:00,0
2026-04-13 01:45:30,0
2026-04-13 01:46:00,0
2026-04-13 01:46:30,0
2026-04-13 01:47:00,0
2026-04-13 01:47:30,0
2026-04-13 01:48:00,0
2026-04-13 01:48:30,0
2026-04-13 01:49:00,0
2026-04-13 01:49:30,0
2026-04-13 01:50:00,0
2026-04-13 01:50:30,0
2026-04-13 01:51:00,0
2026-04-13 01:51:30,0
2026-04-13 01:52:00,0
2026-04-13 01:52:30,0
2026-04-13 01:53:00,0
2026-04-13 01:53:30,0
2026-04-13 01:54:00,0
2026-04-13 01:54:30,0
2026-04-13 01:55:00,0
2026-04-13 01:55:30,0
2026-04-13 01:56:00,0
2026-04-13 01:56:30,0
2026-04-13 01:57:00,0
2026-04-13 01:57:30,0
2026-04-13 01:58:00,0
2026-04-13 01:58:30,0
2026-04-13 01:59:00,0
2026-04-13 01:59:30,0
2026-04-13 02:00:00,0
2026-04-13 02:00:30,0
2026-04-13 02:01:00,0
2026-04-13 02:01:30,0
2026-04-13 02:02:00,0
2026-04-13 02:02:30,0
2026-04-13 02:03:00,0
2026-04-13 02:03:30,0
2026-04-13 02:04:00,0
2026-04-13 02:04:30,0
2026-04-13 02:05:00,0
